# deleted_at	branch	sha	restore_cmd
2026-09-05T17:39:22Z	fleet/consolidated/war-core-eval-20260905	1a01b4bd59f4922f5fc49684bf45f777396a595c	git push origin 1a01b4bd59f4922f5fc49684bf45f777396a595c:refs/heads/fleet/consolidated/war-core-eval-20260905
2026-09-05T17:39:24Z	fleet/consolidated/ux-member-safety-20260905	f3e001c9f6365f3364633d6c0a6be3c267a1e121	git push origin f3e001c9f6365f3364633d6c0a6be3c267a1e121:refs/heads/fleet/consolidated/ux-member-safety-20260905
2026-09-05T17:39:26Z	fleet/consolidated/platform-security-data-20260905	f030252aeb22a02548c1428f47710348dc801759	git push origin f030252aeb22a02548c1428f47710348dc801759:refs/heads/fleet/consolidated/platform-security-data-20260905
2026-09-05T17:39:28Z	agent/issue-73-war-derivation-decomposition	df67ae9d6295e004364c4549492a31799eb907e0	git push origin df67ae9d6295e004364c4549492a31799eb907e0:refs/heads/agent/issue-73-war-derivation-decomposition
2026-09-05T17:39:29Z	fleet/stable/war-derivation-core	23234e0d042d8de2e7ea0b934fe8736b6988442e	git push origin 23234e0d042d8de2e7ea0b934fe8736b6988442e:refs/heads/fleet/stable/war-derivation-core
2026-09-05T17:39:31Z	fleet/i-91-replay-core	e34d2fb4e479e90d18f10db23d9f192802a3afe8	git push origin e34d2fb4e479e90d18f10db23d9f192802a3afe8:refs/heads/fleet/i-91-replay-core
2026-09-05T17:39:33Z	fleet/stable/war-replay-eval	0e4a26d480fcea08c2eccebafbaf9c816afa0a49	git push origin 0e4a26d480fcea08c2eccebafbaf9c816afa0a49:refs/heads/fleet/stable/war-replay-eval
2026-09-05T17:39:35Z	fleet/stable/member-safe-ui	dd4419233b0ca0a2e46e5ee8aef9035208b9c279	git push origin dd4419233b0ca0a2e46e5ee8aef9035208b9c279:refs/heads/fleet/stable/member-safe-ui
2026-09-05T17:39:37Z	agent/issue-103-member-safe-diagnostics	1dc134e1aba4d11cd98867350413e0d43dda9faa	git push origin 1dc134e1aba4d11cd98867350413e0d43dda9faa:refs/heads/agent/issue-103-member-safe-diagnostics
2026-09-05T17:39:38Z	agent/issue-95-security-delete-confirmation	80607dde3274a1b62ce1a8009ba0a7f6aead350a	git push origin 80607dde3274a1b62ce1a8009ba0a7f6aead350a:refs/heads/agent/issue-95-security-delete-confirmation
2026-09-05T17:39:40Z	agent/issue-96-app-shell-navigation	a568f1f8273189ad489611288d65b30ba8673535	git push origin a568f1f8273189ad489611288d65b30ba8673535:refs/heads/agent/issue-96-app-shell-navigation
2026-09-05T17:39:42Z	docs/ux-north-star-2026-09-05	e6918c897da1c663de28b24cf87f7b275783e1f3	git push origin e6918c897da1c663de28b24cf87f7b275783e1f3:refs/heads/docs/ux-north-star-2026-09-05
2026-09-05T17:39:43Z	fleet/b/65-warning-baseline-clean	886f24d2f8130ebf139d8f658202da5542ae086d	git push origin 886f24d2f8130ebf139d8f658202da5542ae086d:refs/heads/fleet/b/65-warning-baseline-clean
2026-09-05T17:39:45Z	fleet/stable/tooling-hygiene	863a46e10f3b4de7229fa52e2d669e06665fa61d	git push origin 863a46e10f3b4de7229fa52e2d669e06665fa61d:refs/heads/fleet/stable/tooling-hygiene
2026-09-05T17:39:47Z	agent/issue-64-remote-exec-pty-fixture	3b96fa001f5608eac1e6e36b45cc5ea46b068f3e	git push origin 3b96fa001f5608eac1e6e36b45cc5ea46b068f3e:refs/heads/agent/issue-64-remote-exec-pty-fixture
2026-09-05T17:39:48Z	fleet/stable/member-data-privacy	e67e6585eb321e7be1bd2f12686b2b4d071a9c4f	git push origin e67e6585eb321e7be1bd2f12686b2b4d071a9c4f:refs/heads/fleet/stable/member-data-privacy
2026-09-05T17:39:50Z	agent/issue-195-gym-train-owner-scope	34a16fb3d7d42fcb28cf2590c8a67d4c689db7a2	git push origin 34a16fb3d7d42fcb28cf2590c8a67d4c689db7a2:refs/heads/agent/issue-195-gym-train-owner-scope
2026-09-05T17:39:52Z	agent/issue-98-account-connections	65016bcea590fed42537685a199c92168b66d929	git push origin 65016bcea590fed42537685a199c92168b66d929:refs/heads/agent/issue-98-account-connections
2026-09-05T17:39:54Z	agent/issue-110-import-persistence-boundary	cf7bed35f2344df44208891c2b8d5f6454fd4a2c	git push origin cf7bed35f2344df44208891c2b8d5f6454fd4a2c:refs/heads/agent/issue-110-import-persistence-boundary
2026-09-05T17:39:55Z	feat/agent-task-leases	7e817ca8cb1797b713362f6ca9eaff5c407e3bf2	git push origin 7e817ca8cb1797b713362f6ca9eaff5c407e3bf2:refs/heads/feat/agent-task-leases
2026-09-05T17:39:57Z	feat/combat-intel-resolution-core	996702dad0d478b1a33c00826375da711b0381fb	git push origin 996702dad0d478b1a33c00826375da711b0381fb:refs/heads/feat/combat-intel-resolution-core
2026-09-05T17:39:59Z	feat/m009-consent-record	eb45ad7585fb2a53d3098ca5ef30288e23ce679a	git push origin eb45ad7585fb2a53d3098ca5ef30288e23ce679a:refs/heads/feat/m009-consent-record
2026-09-05T17:40:01Z	feat/p0-80-stored-member-key	8419fb8cde1e49346947d20e673e37681d3af356	git push origin 8419fb8cde1e49346947d20e673e37681d3af356:refs/heads/feat/p0-80-stored-member-key
2026-09-05T17:40:03Z	feat/p0-81-combat-intel-persistence	dde13ed7e52f90475414993f4fb956b7c8d21076	git push origin dde13ed7e52f90475414993f4fb956b7c8d21076:refs/heads/feat/p0-81-combat-intel-persistence
2026-09-05T17:40:04Z	feat/p0-81-ffscouter-adapter	1d1e97fe58fbe02c1ca6336119b8aedf560fbb21	git push origin 1d1e97fe58fbe02c1ca6336119b8aedf560fbb21:refs/heads/feat/p0-81-ffscouter-adapter
2026-09-05T17:40:06Z	feat/p1-69-architecture-test-project	92c0314d0ee0721eec2d241b7df0574677a54d8a	git push origin 92c0314d0ee0721eec2d241b7df0574677a54d8a:refs/heads/feat/p1-69-architecture-test-project
2026-09-05T17:40:08Z	feat/pr-evidence-contract	99f9f4c10de1436369642ef68fb0e1d211e70666	git push origin 99f9f4c10de1436369642ef68fb0e1d211e70666:refs/heads/feat/pr-evidence-contract
2026-09-05T17:40:10Z	feat/required-evidence-classifier	94ed45a35ce6b36f70faf8afbc01e8612270d07d	git push origin 94ed45a35ce6b36f70faf8afbc01e8612270d07d:refs/heads/feat/required-evidence-classifier
2026-09-05T17:40:12Z	fix/combat-intel-common-invariants	dec09a236b26c023be3afdf8b9fa1bd86679bf94	git push origin dec09a236b26c023be3afdf8b9fa1bd86679bf94:refs/heads/fix/combat-intel-common-invariants
2026-09-05T17:40:14Z	fix/internal-war-notify-boundary	42828f11be6b7a4ced39929673cd4fdeafe9cfc0	git push origin 42828f11be6b7a4ced39929673cd4fdeafe9cfc0:refs/heads/fix/internal-war-notify-boundary
2026-09-05T17:40:15Z	fix/local-return-url-policy	a64eb223b4f6afe7e6e40b55b4d0f488ac5d1cd4	git push origin a64eb223b4f6afe7e6e40b55b4d0f488ac5d1cd4:refs/heads/fix/local-return-url-policy
2026-09-05T17:40:17Z	fix/p0-131-surfaces-raw-denial	fc266a2c09941373e2c42a54aa89b0a4637706be	git push origin fc266a2c09941373e2c42a54aa89b0a4637706be:refs/heads/fix/p0-131-surfaces-raw-denial
2026-09-05T17:40:19Z	fix/remove-weather-demo-route	cd8c2b2f585f257676e58cc9d88f08638559e8ec	git push origin cd8c2b2f585f257676e58cc9d88f08638559e8ec:refs/heads/fix/remove-weather-demo-route
2026-09-05T17:40:21Z	fix/surfaces-cache-outside-webroot	10e3b4380ff9535759af48c1dd5089194262cf09	git push origin 10e3b4380ff9535759af48c1dd5089194262cf09:refs/heads/fix/surfaces-cache-outside-webroot
2026-09-05T17:40:22Z	fix/xunit-global-using	8ef530f5eba30a84ab72a7c7342e8745d2b68a8c	git push origin 8ef530f5eba30a84ab72a7c7342e8745d2b68a8c:refs/heads/fix/xunit-global-using
2026-09-05T17:40:24Z	fix/import-tenant-ownership	c749e9ac6209e465fd7aaac9d2037224858e3741	git push origin c749e9ac6209e465fd7aaac9d2037224858e3741:refs/heads/fix/import-tenant-ownership
2026-09-05T17:40:26Z	fix/security-local-return-urls	150f9aeb65dedcc556bdeb6ee9b1eaa48e538fba	git push origin 150f9aeb65dedcc556bdeb6ee9b1eaa48e538fba:refs/heads/fix/security-local-return-urls
2026-09-05T17:40:28Z	test/verifier-dependency-regression	a7c83f7eff7ffd6b63ed570625606433dd07c279	git push origin a7c83f7eff7ffd6b63ed570625606433dd07c279:refs/heads/test/verifier-dependency-regression
2026-09-05T17:40:29Z	fleet/b/65-warning-baseline	3c5449f47462f0780f0a37c2539fadb2edae883e	git push origin 3c5449f47462f0780f0a37c2539fadb2edae883e:refs/heads/fleet/b/65-warning-baseline
2026-09-05T17:40:31Z	refactor/remove-unused-unit-of-work	2edd63f9687b0520c33479de9cf85f4877278f3e	git push origin 2edd63f9687b0520c33479de9cf85f4877278f3e:refs/heads/refactor/remove-unused-unit-of-work
